course_code,component,percent
MUS 105,Midterm Exam,25
MUS 105,Final Exam,35
MUS 105,Composition Portfolio,30
MUS 105,Participation,10
KOR 107,Weekly Quizzes,30
KOR 107,Oral Exam,30
KOR 107,Final Exam,40
HIS 383,Midterm Exam,30
HIS 383,Research Paper,40
HIS 383,Precept Participation,30
ENG 212,Two Essays,60
ENG 212,Final Exam,40
COS 226,Programming Assignments,45
COS 226,Midterm Exam,20
COS 226,Final Exam,35
PHY 103,Problem Sets,30
PHY 103,Midterm Exam,30
PHY 103,Final Exam,40
ART 220,Midterm Exam,40
ART 220,Final Paper,60
PHI 201,Problem Sets,50
PHI 201,Final Exam,50
