ultorg,lyear,ltype,amount,luse
Prairie Ethanol Corp,2010,Q2,40000,y
Prairie Ethanol Corp,2010,Q4,40000,y
Prairie Ethanol Corp,2011,Q1,55000,y
Prairie Ethanol Corp,2011,Q3,55000,n
Prairie Ethanol Corp,2011,Q3,60000,y
Prairie Ethanol Corp,2012,Q2,70000,y
Cornbelt Biofuels,1998,Q4,20000,y
Cornbelt Biofuels,2005,Q1,30000,y
Cornbelt Biofuels,2005,Q3,30000,y
Cornbelt Biofuels,2012,Q1,25000,y
Valley Renewables,2008,Q2,120000,y
Valley Renewables,2008,Q4,120000,n
Valley Renewables,2008,Q4,125000,y
Valley Renewables,2009,Q1,90000,y
Valley Renewables,2012,Q3,150000,y
Heartland Distillers,2011,Q4,10000,y
Big Oil Holdings,2012,Q1,900000,y
